,air_store_id,air_genre_name,air_area_name,air_latitude,air_longitude,hpg_genre_name,hpg_area_name,hpg_latitude,hpg_longitude,index,min_visits,max_visits,mean_visits,std_visits
0,air_0f0cdeee6c9bf3d7,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.19785249999998,,,,,42,1,75,26.827715355805243,13.598163700991906
1,air_7cc17a324ae5c7dc,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.19785249999998,,,,,390,1,65,13.467084639498433,12.679330526728185
2,air_fee8dcf4d619598e,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.19785249999998,,,,,825,2,53,26.02777777777778,9.799697388803269
3,air_a17f0778617c76e2,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.19785249999998,,,,,527,10,109,44.59574468085106,24.796265124153436
4,air_83db5aff8f50478e,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,412,1,28,7.074688796680498,4.773475149921243
5,air_99c3eae84130c1cb,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,499,1,144,38.37759336099585,16.74896004285905
6,air_f183a514cb8ff4fa,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,788,3,83,36.73010380622837,14.10439107365615
7,air_6b9fa44a9cf504a1,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,341,2,30,7.0,4.868666204878411
8,air_0919d54f0c9a24b8,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,31,2,305,43.56837606837607,27.235218141641017
9,air_2c6c79d597e48096,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,130,1,40,16.941176470588236,8.656885864540456
10,air_0164b9927d20bcc3,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,1,1,27,9.248322147651006,6.348979530972588
11,air_681f96e6a6595f82,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,325,1,111,43.8975,16.42029411725755
12,air_ef920fa6f4b085f6,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,779,1,71,33.75059382422803,12.77337375275168
13,air_d3e7b5952cd09ccb,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,691,1,47,21.410041841004183,8.471855505881086
14,air_e64de0a6bf0739af,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,747,1,122,42.472727272727276,23.67153815355937
15,air_4ce7b17062a1bf73,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,233,1,27,7.563186813186813,4.920174553807601
16,air_290e7a57b390f78e,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,,,,,117,1,35,10.811764705882354,5.8420591141938925
17,air_4579cb0669fd411b,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,207,1,76,24.617241379310343,12.556379951434538
18,air_63a750d8b4b6a976,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,303,1,63,22.80295566502463,11.558358255542249
19,air_9438d67241c81314,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,475,1,82,33.4945295404814,11.07829357028862
20,air_929d8513e3cdb423,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,466,1,29,7.705035971223022,4.54333842080046
21,air_6c1128955c58b690,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,342,1,67,17.881720430107528,15.888019938452409
22,air_638c35eb25e53eea,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,Spain Bar/Italian Bar,Fukuoka-ken Fukuoka-shi Daimyō,33.586969256764995,130.392800598517,302,1,93,25.017021276595745,14.108312648144638
23,air_a7404a854919e990,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,548,1,25,8.593856655290102,4.3724969129039435
24,air_f6cdaf7b7fdc6d78,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,801,1,40,10.526119402985074,6.679056977824817
25,air_df9355c47c5df9d3,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,,,,,724,1,65,24.94144144144144,10.957804454170162
26,air_bf617aa68d5f1cfa,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,,,,,620,1,16,6.238938053097345,3.3777687212009213
27,air_a218912784bf767d,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,,,,,529,1,42,16.225925925925925,9.139810081267017
28,air_506fe758114df773,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,,,,,243,1,119,20.080357142857142,15.783001868168103
29,air_0b9038300f8b2b50,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,,,,,38,1,58,15.263698630136986,9.4087579303554
30,air_3440e0ea1b70a99b,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.705361700000005,135.51002519999997,,,,,152,2,89,30.209621993127147,16.398087888785753
31,air_722297e7f26db91d,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.705361700000005,135.51002519999997,,,,,362,1,34,11.436754176610979,7.360354485183458
32,air_fcfbdcf7b1f82c6e,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,Italian,Tōkyō-to Shibuya-ku None,35.6592135750057,139.699736413293,817,1,128,37.11372549019608,20.3635947703639
33,air_f8233ad00755c35c,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,Spain Bar/Italian Bar,Tōkyō-to Shibuya-ku None,35.6592135750057,139.699736413293,802,1,75,35.159695817490494,15.81781930421218
34,air_d186b2cb0b9ce022,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,688,1,29,12.415441176470589,4.806996418221328
35,air_e76a668009c5dabc,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,750,1,26,10.25925925925926,5.229972190623091
36,air_7fbf7649eb13ad9b,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,399,10,34,17.081447963800905,4.376867880039949
37,air_b439391e72899756,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,588,1,120,20.9645390070922,14.174766486502397
38,air_681b0c56328dd2af,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,324,1,218,31.647642679900745,17.085675625897792
39,air_938ef91ecdde6878,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,470,1,66,23.278195488721803,12.180314079327918
40,air_f911308e19d64236,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,,,,,805,4,82,36.402948402948404,16.428972100847773
41,air_650f9b9de0c5542c,Italian/French,Tōkyō-to Suginami-ku Asagayaminami,35.6995657,139.6364379,,,,,313,1,53,23.718015665796344,7.620162303981521
42,air_632ba66e1f75aa28,Italian/French,Tōkyō-to Suginami-ku Asagayaminami,35.6995657,139.6364379,,,,,301,1,53,13.40767386091127,8.574993754713626
43,air_8e492076a1179383,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.386244500000004,132.4550176,,,,,447,1,199,47.01851851851852,41.20839387874378
44,air_0867f7bebad6a649,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.386244500000004,132.4550176,,,,,25,1,83,23.113636363636363,17.081079694215255
45,air_9d93d95720f2e831,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,,,,,518,1,22,8.399441340782124,4.3578963034045834
46,air_900d755ebd2f7bbd,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,,,,,453,4,125,82.2,29.23516267856406
47,air_dfe068a1bf85f395,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,,,,,726,2,66,34.78,10.982077403496366
48,air_ea7c16131980c837,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,,,,,758,1,114,10.035175879396984,8.186661686302044
49,air_97b2a9f975fc702c,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,,,,,490,4,112,35.705882352941174,21.179114394174686
50,air_ccd19a5bc5573ae5,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,,,,,671,3,103,36.58419243986254,20.756277595084782
