dept_code,AB_amount,AB_count,AB_day_amount_mean,A_amount,A_count,A_day_amount_mean,B_amount,B_count,B_day_amount_mean,O_amount,O_count,O_day_amount_mean,TOTAL_amount,TOTAL_count,TOTAL_day_amount_mean,dept_level,dept_name,pdept_code,,TOTAL_SUM,90%_SUM,
2201,6638.50,1719.00,55.32,18747.00,1719.00,156.23,21674.00,1719.00,180.62,21147.50,1719.00,176.23,68207.00,1719.00,568.39,1,tbd,2201,,273322.00,248264.00,0.908320589
4103,3738.00,1745.00,31.15,8019.50,1745.00,66.83,10146.00,1745.00,84.55,21147.50,1745.00,77.88,31249.00,1745.00,260.41,1,tbd,4103,,,,
2102,2388.50,1752.00,19.90,7476.50,1752.00,62.30,8192.50,1752.00,68.27,21147.50,1752.00,70.59,26528.50,1752.00,221.07,1,tbd,2102,,,,
2209,1990.00,1666.00,16.58,4737.50,1666.00,39.48,5859.50,1666.00,48.83,21147.50,1666.00,38.74,17235.50,1666.00,143.63,1,tbd,2209,,,,
2212,1582.50,1526.00,13.19,4393.50,1526.00,36.61,4726.00,1526.00,39.38,21147.50,1526.00,37.97,15258.00,1526.00,127.15,1,tbd,2212,,,,
2210,1388.50,1573.00,11.57,3810.50,1573.00,31.75,4467.50,1573.00,37.23,21147.50,1573.00,30.31,13304.00,1573.00,110.87,1,tbd,2210,,,,
2218,1386.50,1638.00,11.55,3652.50,1638.00,30.44,3540.00,1638.00,29.50,21147.50,1638.00,33.35,12581.00,1638.00,104.84,1,tbd,2218,,,,
2208,1200.00,1493.00,10.00,3209.00,1493.00,26.74,3701.50,1493.00,30.85,21147.50,1493.00,31.18,11852.00,1493.00,98.77,1,tbd,2208,,,,
2122,796.00,1041.00,6.63,2060.50,1041.00,17.17,2972.00,1041.00,24.77,21147.50,1041.00,16.34,7789.00,1041.00,64.91,1,tbd,2122,,,,
2103,704.00,1423.00,5.87,1614.50,1423.00,13.45,2344.00,1423.00,19.53,21147.50,1423.00,20.92,7172.50,1423.00,59.77,1,tbd,2103,,,,
2119,443.50,1092.00,3.70,1620.00,1092.00,13.50,1968.00,1092.00,16.40,21147.50,1092.00,15.25,5862.00,1092.00,48.85,1,tbd,2119,,,,
2211,409.50,1115.00,3.41,1598.00,1115.00,13.32,1892.50,1115.00,15.77,21147.50,1115.00,13.47,5516.00,1115.00,45.97,1,tbd,2211,,,,
2108,558.00,1364.00,4.65,1363.50,1364.00,11.36,1474.00,1364.00,12.28,21147.50,1364.00,16.11,5328.50,1364.00,44.40,1,tbd,2108,,,,
2109,354.50,1206.00,2.95,1012.00,1206.00,8.43,1446.00,1206.00,12.05,21147.50,1206.00,10.71,4097.50,1206.00,34.15,1,tbd,2109,,,,
2106,601.00,1364.00,5.01,1129.50,1364.00,9.41,1148.00,1364.00,9.57,21147.50,1364.00,9.64,4035.00,1364.00,33.63,1,tbd,2106,,,,
2111,538.50,998.00,4.49,1110.00,998.00,9.25,849.00,998.00,7.08,694.00,998.00,5.78,3191.50,998.00,26.60,1,tbd,2111,,,,
2202,266.00,806.00,2.22,911.50,806.00,7.60,880.50,806.00,7.34,1097.00,806.00,9.14,3155.00,806.00,26.29,1,tbd,2202,,,,
1111,263.00,1044.00,2.19,701.50,1044.00,5.85,1219.00,1044.00,10.16,952.50,1044.00,7.94,3136.00,1044.00,26.13,1,tbd,1111,,,,
2104,300.50,842.00,2.50,799.50,842.00,6.66,700.00,842.00,5.83,966.00,842.00,8.05,2766.00,842.00,23.05,1,tbd,2104,,,,
2204,210.00,584.00,1.75,589.50,584.00,4.91,657.00,584.00,5.48,719.00,584.00,5.99,2175.50,584.00,18.13,1,tbd,2204,,,,
2335,285.00,1129.00,2.38,438.00,1129.00,3.65,497.50,1129.00,4.15,926.00,1129.00,7.72,2146.50,1129.00,17.89,1,tbd,2335,,,,
2121,231.50,748.00,1.93,564.00,748.00,4.70,483.50,748.00,4.03,631.00,748.00,5.26,1910.00,748.00,15.92,1,tbd,2121,,,,
2203,152.50,536.00,1.27,428.50,536.00,3.57,612.50,536.00,5.10,496.50,536.00,4.14,1690.00,536.00,14.08,1,tbd,2203,,,,
2221,200.50,486.00,1.67,331.00,486.00,2.76,490.00,486.00,4.08,630.00,486.00,5.25,1651.50,486.00,13.76,1,tbd,2221,,,,
2206,179.50,475.00,1.50,436.00,475.00,3.63,535.00,475.00,4.46,481.50,475.00,4.01,1632.00,475.00,13.60,1,tbd,2206,,,,
2341,52.00,685.00,0.43,173.50,685.00,1.45,777.00,685.00,6.48,560.00,685.00,4.67,1562.50,685.00,13.02,1,tbd,2341,,,,
2107,128.50,598.00,1.07,328.00,598.00,2.73,575.00,598.00,4.79,514.50,598.00,4.29,1546.00,598.00,12.88,1,tbd,2107,,,,
2309,83.00,462.00,0.69,419.00,462.00,3.49,323.50,462.00,2.70,350.50,462.00,2.92,1176.00,462.00,9.80,1,tbd,2309,,,,
2337,112.50,554.00,0.94,173.50,554.00,1.45,409.00,554.00,3.41,204.00,554.00,1.70,899.00,554.00,7.49,1,tbd,2337,,,,
2117,27.00,384.00,0.23,225.00,384.00,1.88,349.50,384.00,2.91,279.00,384.00,2.33,880.50,384.00,7.34,1,tbd,2117,,,,
2351,171.00,490.00,1.43,265.50,490.00,2.21,308.00,490.00,2.57,123.50,490.00,1.03,868.00,490.00,7.23,1,tbd,2351,,,,
2339,75.50,401.00,0.63,192.00,401.00,1.60,324.50,401.00,2.70,209.00,401.00,1.74,801.00,401.00,6.68,1,tbd,2339,,,,
2105,159.50,345.00,1.33,173.00,345.00,1.44,223.50,345.00,1.86,238.00,345.00,1.98,794.00,345.00,6.62,1,tbd,2105,,,,
3111,76.50,333.00,0.64,129.00,333.00,1.08,232.00,333.00,1.93,310.50,333.00,2.59,748.00,333.00,6.23,1,tbd,3111,,,,
3106,77.50,255.00,0.65,204.50,255.00,1.70,182.50,255.00,1.52,173.00,255.00,1.44,637.50,255.00,5.31,1,tbd,3106,,,,
2352,61.50,369.00,0.51,161.00,369.00,1.34,156.00,369.00,1.30,159.00,369.00,1.33,537.50,369.00,4.48,1,tbd,2352,,,,
2205,50.50,316.00,0.42,127.50,316.00,1.06,158.00,316.00,1.32,156.50,316.00,1.30,492.50,316.00,4.10,1,tbd,2205,,,,
2222,50.00,154.00,0.42,99.00,154.00,0.83,160.00,154.00,1.33,144.00,154.00,1.20,453.00,154.00,3.78,1,tbd,2222,,,,
2342,5.00,284.00,0.04,175.50,284.00,1.46,135.00,284.00,1.13,50.50,284.00,0.42,366.00,284.00,3.05,1,tbd,2342,,,,
2336,15.00,255.00,0.13,81.50,255.00,0.68,173.50,255.00,1.45,86.50,255.00,0.72,356.50,255.00,2.97,1,tbd,2336,,,,
2333,96.00,222.00,0.80,23.00,222.00,0.19,109.50,222.00,0.91,105.50,222.00,0.88,334.00,222.00,2.78,1,tbd,2333,,,,
2334,12.00,166.00,0.10,110.00,166.00,0.92,83.50,166.00,0.70,35.00,166.00,0.29,240.50,166.00,2.00,1,tbd,2334,,,,
2338,0.00,110.00,0.00,40.50,110.00,0.34,99.50,110.00,0.83,94.50,110.00,0.79,234.50,110.00,1.95,1,tbd,2338,,,,
2113,8.00,101.00,0.07,56.00,101.00,0.47,57.00,101.00,0.48,98.00,101.00,0.82,219.00,101.00,1.83,1,tbd,2113,,,,
4112,8.00,84.00,0.07,69.00,84.00,0.58,66.00,84.00,0.55,60.00,84.00,0.50,203.00,84.00,1.69,1,tbd,4112,,,,
2340,13.00,122.00,0.11,10.50,122.00,0.09,83.50,122.00,0.70,39.50,122.00,0.33,146.50,122.00,1.22,1,tbd,2340,,,,
3101,11.50,37.00,0.10,32.00,37.00,0.27,19.50,37.00,0.16,13.50,37.00,0.11,76.50,37.00,0.64,1,tbd,3101,,,,
6701,2.00,27.00,0.02,15.00,27.00,0.13,3.00,27.00,0.03,31.00,27.00,0.26,51.00,27.00,0.43,1,tbd,6701,,,,
2101,0.00,23.00,0.00,8.00,23.00,0.07,29.00,23.00,0.24,7.50,23.00,0.06,44.50,23.00,0.37,1,tbd,2101,,,,
2331,9.00,13.00,0.08,0.00,13.00,0.00,17.00,13.00,0.14,6.50,13.00,0.05,32.50,13.00,0.27,1,tbd,2331,,,,
6702,0.00,17.00,0.00,13.00,17.00,0.11,17.00,17.00,0.14,2.00,17.00,0.02,32.00,17.00,0.27,1,tbd,6702,,,,
3110,2.00,12.00,0.02,6.00,12.00,0.05,7.50,12.00,0.06,11.50,12.00,0.10,27.00,12.00,0.23,1,tbd,3110,,,,
2112,0.00,12.00,0.00,0.00,12.00,0.00,15.00,12.00,0.13,8.00,12.00,0.07,23.00,12.00,0.19,1,tbd,2112,,,,
2207,2.00,10.00,0.02,16.00,10.00,0.13,4.00,10.00,0.03,0.00,10.00,0.00,22.00,10.00,0.18,1,tbd,2207,,,,
3117,0.00,8.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,15.50,8.00,0.13,15.50,8.00,0.13,1,tbd,3117,,,,
2300,0.00,5.00,0.00,5.00,5.00,0.04,4.00,5.00,0.03,2.00,5.00,0.02,11.00,5.00,0.09,1,tbd,2300,,,,
2302,0.00,11.00,0.00,2.00,11.00,0.02,5.00,11.00,0.04,4.00,11.00,0.03,11.00,11.00,0.09,1,tbd,2302,,,,
3112,0.00,3.00,0.00,5.00,3.00,0.04,0.00,3.00,0.00,2.00,3.00,0.02,7.00,3.00,0.06,1,tbd,3112,,,,
t026,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,4.00,1.00,0.03,4.00,1.00,0.03,1,tbd,t026,,,,
