A,AB,B,O,dept_code,dept_name,pdept_code,trans_dt,dow,day,month,year,week,hol_dur,hol_lower,hol_upper,TOTAL
4.0,2.0,0.0,2.0,4103,tbd,4103,2013-01-02,2,2,1,2013,1,3.0,-1.0,1.0,8.0
0.0,6.0,2.0,2.0,4103,tbd,4103,2013-01-03,3,3,1,2013,1,3.0,-1.0,1.0,10.0
0.0,0.0,0.0,8.0,4103,tbd,4103,2013-01-04,4,4,1,2013,1,,,,8.0
0.0,0.0,4.0,6.0,4103,tbd,4103,2013-01-05,5,5,1,2013,1,,,,10.0
8.0,1.0,6.0,3.0,4103,tbd,4103,2013-01-06,6,6,1,2013,1,,,,18.0
6.0,0.0,7.0,2.0,4103,tbd,4103,2013-01-07,0,7,1,2013,2,,,,15.0
0.0,2.0,12.0,0.0,4103,tbd,4103,2013-01-08,1,8,1,2013,2,,,,14.0
0.0,6.0,29.5,0.0,4103,tbd,4103,2013-01-09,2,9,1,2013,2,,,,35.5
2.0,2.0,11.0,8.0,4103,tbd,4103,2013-01-10,3,10,1,2013,2,,,,23.0
31.0,2.0,8.0,8.0,4103,tbd,4103,2013-01-11,4,11,1,2013,2,,,,49.0
6.0,0.0,14.0,2.0,4103,tbd,4103,2013-01-12,5,12,1,2013,2,,,,22.0
7.5,0.0,9.0,1.0,4103,tbd,4103,2013-01-13,6,13,1,2013,2,,,,17.5
6.0,0.0,16.0,6.0,4103,tbd,4103,2013-01-14,0,14,1,2013,3,,,,28.0
2.0,0.0,5.0,10.0,4103,tbd,4103,2013-01-15,1,15,1,2013,3,,,,17.0
3.0,4.0,1.0,2.0,4103,tbd,4103,2013-01-16,2,16,1,2013,3,,,,10.0
8.0,0.0,3.5,4.0,4103,tbd,4103,2013-01-17,3,17,1,2013,3,,,,15.5
4.0,0.0,3.5,12.0,4103,tbd,4103,2013-01-18,4,18,1,2013,3,,,,19.5
6.0,4.0,3.5,2.0,4103,tbd,4103,2013-01-19,5,19,1,2013,3,,,,15.5
4.0,7.0,5.5,0.0,4103,tbd,4103,2013-01-20,6,20,1,2013,3,,,,16.5
