ds,type
2013/1/1,3
2013/1/2,3
2013/1/3,3
2013/2/9,7
2013/2/10,7
2013/2/11,7
2013/2/12,7
2013/2/13,7
2013/2/14,7
2013/2/15,7
2013/4/4,3
2013/4/5,3
2013/4/6,3
2013/4/29,3
2013/4/30,3
2013/5/1,3
2013/6/10,3
2013/6/11,3
2013/6/12,3
2013/9/19,3
2013/9/20,3
2013/9/21,3
2013/10/1,7
2013/10/2,7
2013/10/3,7
2013/10/4,7
2013/10/5,7
2013/10/6,7
2013/10/7,7
2014/1/1,3
2014/1/31,7
2014/2/1,7
2014/2/2,7
2014/2/3,7
2014/2/4,7
2014/2/5,7
2014/2/6,7
2014/4/5,3
2014/4/6,3
2014/4/7,3
2014/5/1,3
2014/5/2,3
2014/5/3,3
2014/5/31,3
2014/6/1,3
2014/6/2,3
2014/9/6,3
2014/9/7,3
2014/9/8,3
2014/10/1,7
2014/10/2,7
2014/10/3,7
2014/10/4,7
2014/10/5,7
2014/10/6,7
2014/10/7,7
2015/1/1,3
2015/1/2,3
2015/1/3,3
2015/2/18,7
2015/2/19,7
2015/2/20,7
2015/2/21,7
2015/2/22,7
2015/2/23,7
2015/2/24,7
2015/4/4,3
2015/4/5,3
2015/4/6,3
2015/5/1,3
2015/5/2,3
2015/5/3,3
2015/6/20,3
2015/6/21,3
2015/6/22,3
2015/9/3,3
2015/9/4,3
2015/9/5,3
2015/9/26,3
2015/9/27,3
2015/10/1,7
2015/10/2,7
2015/10/3,7
2015/10/4,7
2015/10/5,7
2015/10/6,7
2015/10/7,7
2016/1/1,3
2016/1/2,3
2016/1/3,3
2016/2/7,7
2016/2/8,7
2016/2/9,7
2016/2/10,7
2016/2/11,7
2016/2/12,7
2016/2/13,7
2016/4/2,3
2016/4/3,3
2016/4/4,3
2016/4/30,3
2016/5/1,3
2016/5/2,3
2016/6/9,3
2016/6/10,3
2016/6/11,3
2016/9/15,3
2016/9/16,3
2016/9/17,3
2016/10/1,7
2016/10/2,7
2016/10/3,7
2016/10/4,7
2016/10/5,7
2016/10/6,7
2016/10/7,7
2016/12/31,3
2017/1/1,3
2017/1/2,3
2017/1/27,7
2017/1/28,7
2017/1/29,7
2017/1/30,7
2017/1/31,7
2017/2/1,7
2017/2/2,7
2017/4/2,3
2017/4/3,3
2017/4/4,3
2017/4/29,3
2017/4/30,3
2017/5/1,3
2017/5/28,3
2017/5/29,3
2017/5/30,3
2017/10/1,7
2017/10/2,7
2017/10/3,7
2017/10/4,7
2017/10/5,7
2017/10/6,7
2017/10/7,7
2017/10/8,7
2017/12/30,3
2017/12/31,3
2018/1/1,3
2018/2/15,7
2018/2/16,7
2018/2/17,7
2018/2/18,7
2018/2/19,7
2018/2/20,7
2018/2/21,7
2018/4/5,3
2018/4/6,3
2018/4/7,3
2018/4/29,3
2018/4/30,3
2018/5/1,3
2018/6/16,3
2018/6/17,3
2018/6/18,3
2018/9/22,3
2018/9/23,3
2018/9/24,3
2018/10/1,7
2018/10/2,7
2018/10/3,7
2018/10/4,7
2018/10/5,7
2018/10/6,7
2018/10/7,7
