trans_dt,A,B,O,AB,code_len,dow,day,month,year,week,ds,hol_dur,hol_lower,hol_upper,TOTAL
2013-01-02,20.0,24.5,28.0,11.0,150,2,2,1,2013,1,2013-01-02,3.0,-1.0,1.0,83.5
2013-01-03,22.5,22.0,23.0,11.0,168,3,3,1,2013,1,2013-01-03,3.0,-1.0,1.0,78.5
2013-01-04,21.5,33.5,46.0,12.0,186,4,4,1,2013,1,,,,,113.0
2013-01-05,28.0,25.0,43.0,21.5,166,5,5,1,2013,1,,,,,117.5
2013-01-06,22.0,42.0,36.5,17.5,186,6,6,1,2013,1,,,,,118.0
2013-01-07,28.5,49.0,48.0,17.0,186,0,7,1,2013,2,,,,,142.5
2013-01-08,41.0,43.5,64.0,9.0,204,1,8,1,2013,2,,,,,157.5
2013-01-09,49.5,16.0,88.5,16.5,210,2,9,1,2013,2,,,,,170.5
2013-01-10,44.5,31.5,38.0,11.0,186,3,10,1,2013,2,,,,,125.0
2013-01-11,42.5,28.5,49.0,14.0,216,4,11,1,2013,2,,,,,134.0
2013-01-12,29.0,17.0,27.5,18.0,180,5,12,1,2013,2,,,,,91.5
2013-01-13,27.5,16.0,20.0,18.0,148,6,13,1,2013,2,,,,,81.5
2013-01-14,49.0,42.5,25.5,7.5,150,0,14,1,2013,3,,,,,124.5
2013-01-15,22.0,24.5,45.0,9.5,174,1,15,1,2013,3,,,,,101.0
2013-01-16,26.5,45.0,48.5,13.0,216,2,16,1,2013,3,,,,,133.0
2013-01-17,46.5,30.5,40.0,10.0,210,3,17,1,2013,3,,,,,127.0
2013-01-18,50.5,51.5,43.0,17.0,204,4,18,1,2013,3,,,,,162.0
2013-01-19,18.0,21.0,34.0,5.0,144,5,19,1,2013,3,,,,,78.0
2013-01-20,21.0,20.5,14.5,3.0,132,6,20,1,2013,3,,,,,59.0
2013-01-21,47.5,68.0,18.0,9.5,216,0,21,1,2013,4,,,,,143.0
2013-01-22,47.5,34.0,60.5,19.5,216,1,22,1,2013,4,,,,,161.5
2013-01-23,43.5,40.5,36.0,13.0,216,2,23,1,2013,4,,,,,133.0
2013-01-24,34.5,26.5,81.5,15.5,180,3,24,1,2013,4,,,,,158.0
2013-01-25,31.5,36.5,48.0,25.0,186,4,25,1,2013,4,,,,,141.0
2013-01-26,28.5,19.0,25.0,3.5,138,5,26,1,2013,4,,,,,76.0
2013-01-27,23.0,41.0,18.5,7.5,150,6,27,1,2013,4,,,,,90.0
2013-01-28,23.5,40.0,38.0,3.0,162,0,28,1,2013,5,,,,,104.5
2013-01-29,31.5,89.5,45.0,27.0,234,1,29,1,2013,5,,,,,193.0
2013-01-30,13.0,53.0,28.5,22.0,208,2,30,1,2013,5,,,,,116.5
2013-01-31,34.0,38.0,39.5,10.5,210,3,31,1,2013,5,,,,,122.0
2013-02-01,16.0,36.5,25.5,16.5,198,4,1,2,2013,5,,,,,94.5
2013-02-02,28.0,39.5,42.0,11.0,198,5,2,2,2013,5,,,,,120.5
2013-02-03,18.0,35.0,22.0,4.0,156,6,3,2,2013,5,,,,,79.0
2013-02-04,7.0,46.0,30.5,5.0,166,0,4,2,2013,6,,,,,88.5
2013-02-05,27.0,49.0,29.5,13.0,168,1,5,2,2013,6,,,,,118.5
2013-02-06,29.5,36.0,46.5,25.0,226,2,6,2,2013,6,,,,,137.0
2013-02-07,21.0,32.5,27.0,7.0,162,3,7,2,2013,6,,,,,87.5
2013-02-08,21.0,36.5,28.5,12.0,132,4,8,2,2013,6,,,,,98.0
2013-02-09,13.0,20.0,16.5,9.0,120,5,9,2,2013,6,2013-02-09,7.0,-2.0,2.0,58.5
2013-02-10,12.0,12.0,15.0,0.0,84,6,10,2,2013,6,2013-02-10,7.0,-2.0,2.0,39.0
2013-02-11,22.0,19.0,18.0,9.0,96,0,11,2,2013,7,2013-02-11,7.0,-2.0,2.0,68.0
2013-02-12,9.5,23.0,24.0,9.0,120,1,12,2,2013,7,2013-02-12,7.0,-2.0,2.0,65.5
2013-02-13,6.5,17.0,16.0,9.0,102,2,13,2,2013,7,2013-02-13,7.0,-2.0,2.0,48.5
2013-02-14,11.5,16.0,17.5,7.0,102,3,14,2,2013,7,2013-02-14,7.0,-2.0,2.0,52.0
